at 19m40s, row rate 111013.39/sec (period), row rate 171762.69/sec (overall), 2.026800E+08 total rows
at 19m50s, row rate 192998.31/sec (period), row rate 171941.14/sec (overall), 2.046100E+08 total rows
at 20m0s, row rate 186986.63/sec (period), row rate 172066.53/sec (overall), 2.064800E+08 total rows
at 20m10s, row rate 116009.17/sec (period), row rate 171603.28/sec (overall), 2.076400E+08 total rows
at 20m20s, row rate 37000.19/sec (period), row rate 170499.99/sec (overall), 2.080100E+08 total rows
at 20m30s, row rate 38997.29/sec (period), row rate 169430.78/sec (overall), 2.084000E+08 total rows
at 20m40s, row rate 78999.53/sec (period), row rate 168701.50/sec (overall), 2.091900E+08 total rows
at 20m50s, row rate 310994.97/sec (period), row rate 169839.86/sec (overall), 2.123000E+08 total rows
at 21m0s, row rate 308026.79/sec (period), row rate 170936.49/sec (overall), 2.153800E+08 total rows
at 21m10s, row rate 261986.81/sec (period), row rate 171653.46/sec (overall), 2.180000E+08 total rows
at 21m20s, row rate 272987.22/sec (period), row rate 172445.16/sec (overall), 2.207300E+08 total rows
at 21m30s, row rate 272013.43/sec (period), row rate 173216.97/sec (overall), 2.234500E+08 total rows
at 21m40s, row rate 344985.38/sec (period), row rate 174538.32/sec (overall), 2.269000E+08 total rows
at 21m50s, row rate 362009.46/sec (period), row rate 175969.36/sec (overall), 2.305200E+08 total rows
at 22m0s, row rate 372007.57/sec (period), row rate 177454.47/sec (overall), 2.342400E+08 total rows
at 22m10s, row rate 358988.49/sec (period), row rate 178819.43/sec (overall), 2.378300E+08 total rows
at 22m20s, row rate 215003.16/sec (period), row rate 179089.45/sec (overall), 2.399800E+08 total rows
at 22m30s, row rate 175011.85/sec (period), row rate 179059.25/sec (overall), 2.417300E+08 total rows
at 22m40s, row rate 171985.00/sec (period), row rate 179007.23/sec (overall), 2.434500E+08 total rows
at 22m50s, row rate 103009.16/sec (period), row rate 178452.55/sec (overall), 2.444800E+08 total rows
at 23m0s, row rate 104000.28/sec (period), row rate 177913.04/sec (overall), 2.455200E+08 total rows
at 23m10s, row rate 315974.64/sec (period), row rate 178906.37/sec (overall), 2.486800E+08 total rows
at 23m20s, row rate 307993.92/sec (period), row rate 179828.44/sec (overall), 2.517600E+08 total rows
at 23m30s, row rate 298029.86/sec (period), row rate 180666.66/sec (overall), 2.547400E+08 total rows
at 23m40s, row rate 302000.18/sec (period), row rate 181521.12/sec (overall), 2.577600E+08 total rows
at 23m50s, row rate 289998.40/sec (period), row rate 182279.71/sec (overall), 2.606600E+08 total rows
at 24m0s, row rate 291993.02/sec (period), row rate 183041.63/sec (overall), 2.635800E+08 total rows
at 24m10s, row rate 114994.00/sec (period), row rate 182572.31/sec (overall), 2.647300E+08 total rows
at 24m20s, row rate 26000.22/sec (period), row rate 181499.91/sec (overall), 2.649900E+08 total rows
at 24m30s, row rate 12000.89/sec (period), row rate 180346.94/sec (overall), 2.651100E+08 total rows
at 24m40s, row rate 101992.28/sec (period), row rate 179817.47/sec (overall), 2.661300E+08 total rows
COPY 266827680, took 24m42.667607848s with 2 worker(s) (mean rate 179964.597991/sec)
